Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
x Everett St,East Boston,2128,19,0,19,17,0,17,2,0,2,Ownership,Private,,
x Fairland St (Lee VUP),Roxbury,2119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Fairmount Ave,Hyde Park,2136,10,0,10,9,0,9,1,0,1,Ownership,Private,,
x Falcon St (AOP),East Boston,2128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Fisher Ave,Mission Hill,2120,15,15,0,13,13,0,2,2,0,Rental,Private,,
x Fort Avenue,Roxbury,2119,13,13,0,0,0,0,13,13,0,Rental,Private,,
x Fottler (REMS Land),Mattapan,2126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Gaston (RDP),Roxbury,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Gladstone St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Glendon St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Glenway St,Dorchester,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Glenway Street,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Glenway Street (1-4),Dorchester,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Gordon Avenue,Hyde Park,2136,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Green Street,Jamaica Plain,2130,21,0,21,18,0,18,3,0,3,Ownership,Private,,
x Greenbrier St (BuildHome),Dorchester,2124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Greenwich Park*,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,
x H Street,South Boston,2127,11,0,11,10,0,10,1,0,1,Ownership,Private,,
x Hancock,Dorchester,2125,36,36,0,15,15,0,21,21,0,Rental,Private,,
x Hanover St,North End,2113,16,16,0,15,15,0,1,1,0,Rental,Private,,
x Harold Street,Roxbury,2119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Harrison Ave,South End,2118,585,585,0,527,527,0,58,58,0,Rental,Private,,
x Harrison Ave Condos,South End,2118,39,0,39,36,0,36,3,0,3,Ownership,Private,,
x Harrison Avenue,South End,2118,4,0,4,3,0,3,1,0,1,Ownership/Rental,Private,,
x Harvard Street,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Hawthorne Pl,West End,2114,480,0,480,479,0,479,1,0,1,Ownership/Rental,Private,,
x Hawthorne Street,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Hemenway,Fenway,2115,15,15,0,0,0,0,15,15,0,Rental,Private,,
x Hemenway Coop,Fenway,2115,24,24,0,11,11,0,13,13,0,Cooperative,Private,,
x Hendry St (REO),Dorchester,2122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Hichborn St,Brighton,2135,23,0,23,20,0,20,3,3,0,Rental,Private,,
x Highland St E+,Roxbury,2119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
x Highland Street,Roxbury,2119,5,0,5,4,0,4,1,0,1,Ownership,Private,,
x Holborn Terrace,Roxbury,2121,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Hollander Street,Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Homes Ave Development,Dorchester,2122,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Hosmer St (Lee VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x House (SPO),Dorchester,2122,12,12,0,0,0,0,12,12,0,Rental,Private,,
x Howard Ave,Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Huckins St,Roxbury,2119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
x Hudson St (AOP),Chinatown,2111,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Humboldt Avenue,Roxbury,2121,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Humboldt Avenue-202,Roxbury,2121,12,12,0,0,0,0,12,12,0,Rental,Private,?,
x Humphreys Place (AOP),Dorchester,2125,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Huntington Avenue,Mission Hill,2120,37,37,0,0,0,0,37,37,0,Rental,Private,,
x Hutchings Street,Roxbury,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Hyde Park Ave,Roslindale,2131,8,0,8,0,0,0,8,0,8,Ownership,Private,,
x Hyde Park Avenue,Roslindale,2136,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Intervale St (RDP),Roxbury,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Itasca Street,Mattapan,2126,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Juniper Street,Roxbury,2119,4,3,1,1,1,0,3,2,1,Ownership/Rental,Private,,
x Kingsdale St,Dorchester,2124,3,1,2,1,0,1,2,1,1,Ownership/Rental,Private,,
x L Street,South Boston,2127,30,30,0,26,26,0,4,4,0,Rental,Private,,
x Landor Road,Mattapan,2126,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Lawnwood Place Project,Charlestown,2129,9,0,9,5,0,5,4,0,4,Ownership,Private,,
x Lawrence Avenue,Dorchester,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Leighton Rd Foreclosed Home Sale,Hyde Park,2136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Leroy St (AOP),Dorchester,2122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Levant St,Dorchester,2122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Lexington Ave (AOP),Hyde Park,2136,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Lexington St (1-4 Program),East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Lexington/92-94 Putnam (1-4),East Boston,2128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Leyden St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Lorne Street,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Magnolia St,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Magnolia St (RDP),Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Mallon Road,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Malvern St,Allston,2134,48,48,0,42,42,0,6,6,0,Rental,Private,,
x Manor St (RDP),Dorchester,2122,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Marion Place,East Boston,2128,1,0,1,0,0,0,1,1,0,Ownership,Private,,
x Marion St,East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Market St,Brighton,2135,29,0,29,25,0,25,4,0,4,Ownership,Private,,
x Market Street,Brighton,2135,39,39,0,34,34,0,5,5,0,Rental,Private,,
x Mass. Ave. (BCLT),Roxbury,2118,18,18,0,0,0,0,18,18,0,Rental,Private,,
x Massachusetts Ave,Dorchester,2125,40,40,0,35,35,0,5,5,0,Rental,Private,,
x Massachusetts Avenue,South End,2118,10,0,10,8,0,8,2,0,2,Ownership,Private,,
x Maverick St,East Boston,2128,37,0,37,32,0,32,5,0,5,Ownership,Private,,
x Maverick St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Maywood Street,Roxbury,2119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x McBride St,Jamaica Plain,2130,11,11,0,10,10,0,1,1,0,Rental,Private,,
x Medford St,Charlestown,2129,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Metropolitan Ave,Hyde Park,2136,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Milton Street,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Minden St,Jamaica Plain,2130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Minden Street,Jamaica Plain,2130,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Miner Street,Fenway,2215,49,49,0,43,43,0,6,6,0,Rental,Private,,
x Monsignor Way,Dorchester,2124,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Morris Street (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Morse Street,Dorchester,2121,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Mount Everett NHI,Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Mountfort St,Fenway,2215,37,37,0,33,33,0,4,4,0,Rental,Private,,
x Mt. Pleasant Ave SRO,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental,Private,,
x Mt. Pleasant Avenue,Roxbury,2119,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Murray Ave,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Murray Ave (1-4),Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x N Beacon,Allston,2134,30,30,0,26,26,0,4,4,0,Rental,Private,,
x N Beacon St (Condo Phase),Brighton,2135,9,0,9,8,0,8,1,0,1,Ownership,Private,,
x N Beacon St (Rental Phase),Allston,2134,72,72,0,63,63,0,9,9,0,Rental,Private,,
x N Beacon St Mixed Use Development,Allston,2134,20,20,0,17,17,0,3,3,0,Rental,Private,,
x Nelson Street,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Neponset Ave,Dorchester,2122,22,22,0,19,19,0,3,3,0,Rental,Private,,
x Newbury - Virgin Records,Back Bay,2115,54,0,54,49,0,49,5,0,5,Ownership,Private,,
x Nightingale Street,Dorchester,2124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Norfolk Street (RDP),Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x North Ave/YouthBuild,Roxbury,2119,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Northampton Apts,Roxbury,2118,9,9,0,0,0,0,9,9,0,Rental,Private,,
x Norwell St - YouthBuild,Dorchester,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Norwell Street (REO/Private Acquisition),Dorchester,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Oak Street (AOP),Chinatown,2111,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Old Colony,South Boston,2127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
x Old Colony Ave,South Boston,2127,49,49,0,41,41,0,8,8,0,Rental,Private,,
x Orleans Street,East Boston,2128,14,0,14,12,0,12,2,0,2,Ownership,Private,,
x Otisfield St (BuildHome),Roxbury,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Page St (James VUP),Dorchester,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Park Drive,Fenway,2215,21,0,21,18,0,18,3,0,3,Ownership,Private,,
x Park St,Dorchester,2122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Park St Lodging House,Dorchester,2122,16,16,0,0,0,0,16,16,0,Rental,Private,,
x Park St/YouthBuild,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Parker Hill Ave,Mission Hill,2120,40,40,0,34,34,0,6,6,0,Rental,Private,,
x Peacevale Rd,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Peterborough,Fenway,2215,20,20,0,17,17,0,3,3,0,Rental,Private,,
x Peterborough Street,Fenway,2215,11,11,0,10,10,0,1,1,0,Rental,Private,,
x Pier 4,South Boston Waterfront,2110,369,369,0,337,337,0,32,32,0,Rental,Private,,
x Pleasant St,Dorchester,2125,17,0,17,15,0,15,2,0,2,Ownership,Private,,
x Prescott Street,East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Prince St Catholic Church Property,North End,2113,57,0,57,51,0,51,6,0,6,Ownership,Private,,
x Princeton St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Princeton Street (1-4),East Boston,2128,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Puritan Ave,Dorchester,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Putnam St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Quincy St (REO),Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Quincy Street,Dorchester,2122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Quincy Street (1-4),Roxbury,2121,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Ridgewood St. (REO),Dorchester,2122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Rill St (BuildHome),Dorchester,2125,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x River St,Hyde Park,2136,32,32,0,28,28,0,4,4,0,Rental,Private,,
x River St (AOP),Mattapan,2126,27,27,0,0,0,0,27,27,0,Rental,Private,,
x River Street,Mattapan,2126,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Robert Street,Roslindale,2131,14,14,0,13,13,0,1,1,0,Rental,Private,,
x Rockland Avenue,Roxbury,2119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Rockwell Street,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Roxbury St,Roxbury,2119,11,11,0,9,9,0,2,2,0,Rental,Private,,
x Ruggles Assisted Living,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental,Private,Y,
x Ruskindale Road,Hyde Park,2136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Rutherford Ave,Charlestown,2129,22,0,22,19,0,19,3,0,3,Ownership,Private,,
x Saratoga St,East Boston,2128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Saratoga St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Savin Hill Ave,Dorchester,2125,14,14,0,13,13,0,1,1,0,Rental,Private,,
x Savin Street,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Schuyler St (BuildHome),Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Seaver Street,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Selden St,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Selden St (BuildHome),Dorchester,2124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Shetland St,Roxbury,2119,57,57,0,50,50,0,7,7,0,Rental,Private,,
x South Huntington,Mission Hill,2116,38,38,0,33,33,0,5,5,0,Rental,Private,,
x Southern Ave (Johnson VUP),Dorchester,2124,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Spencer St (RDP),Dorchester,2124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Spencer Street,Dorchester,2124,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Spring Street,West Roxbury,2132,11,11,0,10,10,0,1,1,0,Rental,Private,,
x St Alphonsus St,Mission Hill,2120,115,115,0,100,100,0,15,15,0,Rental,Private,,
x St Andrew Rd (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x St. Andrew Rd (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Stanwood St,Dorchester,2121,12,12,0,10,10,0,2,2,0,Rental,Private,,
x Stillman St. Conodminium,North End,2113,28,0,28,25,0,25,3,0,3,Ownership,Private,,
x Stonley,Jamaica Plain,2130,28,28,0,23,23,0,5,5,0,Rental,Private,,
x Stoughton Neighborhood Homes,Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Stratton Street,Dorchester,2124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Summit Aveue,Brighton,2135,15,0,15,14,0,14,1,0,1,Ownership,Private,,
x Sumner Street,East Boston,2128,34,34,0,29,29,0,5,5,0,Rental,Private,,
x Sumner Street [Clippership Wharf Offsite Affd],East Boston,2128,30,0,30,16,0,16,14,0,14,Ownership,Public,,
x SUSSEX (RDP),Roxbury,2120,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Sussex Street (RDP),Roxbury,2120,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Taber St,Roxbury,2119,45,0,45,39,0,39,6,0,6,Ownership,Private,,
x Tafthill Park,Roslindale,2131,19,0,19,17,0,17,2,0,2,Ownership,Private,,
x Talbot Ave,Dorchester,2124,14,14,0,0,0,0,14,14,0,Rental,Private,,
x Talbot Ave (REO),Dorchester,2124,4,3,1,0,0,0,4,3,1,Ownership/Rental,Private,,
x Talbot Avenue,Dorchester,2124,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Tennis Road,Mattapan,2126,12,12,0,0,0,0,12,12,0,Rental,Private,,
x Toledo Terrace,Dorchester,2122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Tonawanda St (Johnson VUP),Dorchester,2124,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Topliff St (REO),Dorchester,2122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Tremlett Street,Dorchester,2124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Tremont,South End,2118,4,4,0,3,3,0,1,1,0,Rental,Private,,
x Tremont St,South End,2118,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Tremont Street,Mission Hill,2120,18,18,0,16,16,0,2,2,0,Rental,Private,,
x Tremont Street Apartments,Brighton,2135,62,62,0,54,54,0,8,8,0,Rental,Private,,
x Truman Parkway,Hyde Park,2136,46,46,0,40,40,0,6,6,0,Rental,Private,,
x Union Ave,Jamaica Plain,2130,59,59,0,0,0,0,59,59,0,Rental,Private,,
x Verrill St & x 0-x 4 Ballou Ave,Dorchester,2124,18,18,0,0,0,0,18,18,0,Rental,Private,,
x W Broadway,South Boston,2127,42,0,42,37,0,37,5,0,5,Ownership,Private,,
x W Broadway [Seaport Square Block M Offsite],South Boston,2127,16,16,0,0,0,0,16,16,0,Rental,Private,,
x W Newton St,South End,2118,28,28,0,1,1,0,27,27,0,Rental,Private,,
x W Park St (AOP),Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x W Second,South Boston,2127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
x W Second St,South Boston,2127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Walk Hill St (Johnson VUP),Mattapan,2126,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Walley St,East Boston,2128,38,0,38,33,0,33,5,0,5,Ownership,Private,,
x Wareham,South End,2118,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x Warren St. Lodging,Roxbury,2121,21,21,0,0,0,0,21,21,0,Rental,Private,,
x Warren Street (1-4),Roxbury,2119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Warren Supportive Housing Phase 1 - Acquisition,Roxbury,2121,10,10,0,0,0,0,10,10,0,Rental,Private,,
x Washington,West Roxbury,2132,46,46,0,40,40,0,6,6,0,Rental,Private,,
x Washington (Archer/Bonell),Roxbury,2119,12,12,0,11,11,0,1,1,0,Rental,Private,,
x Washington [Belvidere/Dalton East Offsites],Roxbury,2119,16,0,16,9,0,9,7,0,7,Ownership,Private,,
x Washington St,South End,2118,15,15,0,,0,0,15,15,0,Rental,public,,
x Washington St (AOP),Roslindale,2131,26,26,0,0,0,0,26,26,0,Rental,Private,,
x Washington St AB&W Cooperative Building,Dorchester,2121,24,24,0,0,0,0,24,24,0,Rental,Private,,
x Washington St Lodging,Dorchester,2124,10,10,0,0,0,0,10,10,0,Rental,Private,,
x Washington Street,Roslindale,2131,28,0,28,27,0,27,1,0,1,Ownership,Private,,
x Washington Street Project,West Roxbury,2132,20,0,20,17,0,17,3,0,3,Ownership,Private,,
x Waverly Street,Roxbury,2119,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Wayland St. Dorchester - COB,Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
"x Wellesley Park, #1",Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x Wenhan St (RDP),Jamaica Plain,2130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Wentworth St (BuildHome),Dorchester,2124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x West 7th St (BRA acq),South Boston,2127,15,0,15,0,0,0,15,0,15,Ownership,Private,,
x West 7th Street,South Boston,2127,25,0,25,24,0,24,1,0,1,Ownership,Private,,
x West Broadway,South Boston,2127,49,0,49,43,0,43,6,0,6,Ownership,Private,,
x West Second St Condos,South Boston,2127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x West Walnut Pk.,Jamaica Plain,2119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Western Ave,Brighton,2135,132,132,0,115,115,0,17,17,0,Rental,Private,,
x Westland Avenue,Fenway,2115,20,20,0,18,18,0,2,2,0,Rental,Private,,
x Westminister Ave,Roxbury,2119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Westminster (AOP),Hyde Park,2136,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Westmore Rd (BuildHome),Mattapan,2126,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Wheatland Avenue,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Wildwood Street,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Willow Court,Dorchester,2125,14,0,14,12,0,12,2,0,2,Ownership,Private,,
x Winston Rd,Dorchester,2126,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Woodbine (REO),Roxbury,2119,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Woodbine Street,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Woodrow Ave (James VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x Woodville,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Woodward St (AOP),South Boston,2127,15,15,0,0,0,0,15,15,0,Rental,Private,,
x Wordsworth St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x x Harrishof St,Roxbury,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Zeigler Street,Roxbury,2119,8,8,0,0,0,0,8,8,0,Rental,Private,,
xx A Street,South Boston,2127,23,0,23,20,0,20,3,0,3,Ownership,Private,,
xx B Street,South Boston,2127,32,0,32,28,0,28,4,0,4,Ownership,Private,,
xx Blue Hill Ave,Roxbury,2119,2,2,0,0,0,0,2,2,0,Rental,Private,,
xx Bowdoin St,Dorchester,2124,2,2,0,0,0,0,2,2,0,Rental,Public,,
xx Chaucer St (AOP),East Boston,2128,2,2,0,0,0,0,2,2,0,Rental,Private,,
xx Chelsea St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Coleman Street,Dorchester,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
xx Cummins Highway,Mattapan,2126,16,16,0,0,0,0,16,16,0,Rental,Private,,
xx Dorchester Ave,Dorchester,2124,6,6,0,0,0,0,6,6,0,Rental,Private,,
xx Dorchester St,South Boston,2127,30,0,30,26,0,26,4,0,4,Ownership,Private,,
xx Eustis Street,Roxbury,2119,14,14,0,0,0,0,14,14,0,Rental,Private,,
xx Everett St,East Boston,2128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xx Gladstone St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Harrison Ave,South End,2118,84,0,84,34,0,34,50,0,50,Ownership,Private,,
xx Huckins St,Roxbury,2119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
xx L Street,South Boston,2127,13,0,13,11,0,11,2,0,2,Ownership,Private,,
xx Lexington St (1-4 Program),East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Magnolia St,Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Marion St,East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Market St,Brighton,2135,17,17,0,15,15,0,2,2,0,Rental,Private,,
xx Maverick St,East Boston,2128,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xx Maywood Street,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Nelson Street,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Old Colony Ave,South Boston,2127,14,0,14,12,0,12,2,0,2,Ownership,Private,,
xx River Street,Hyde Park,2136,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xx Saratoga St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Talbot Ave,Dorchester,2124,13,13,0,0,0,0,13,13,0,Rental,Private,Y,
xx Tremont Street,Mission Hill,2120,66,66,0,65,65,0,1,1,0,Rental,Private,,
xx W Broadway,South Boston,2127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xx Washington St,Jamaica Plain,2130,40,0,40,33,0,33,7,0,7,Ownership,Private,,
xx Wentworth St (BuildHome),Dorchester,2124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
xx West Broadway,South Boston,2127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
xxx A Street,South Boston,2127,12,0,12,11,0,11,1,0,1,Ownership,Private,,
xxx Beacon St,Fenway,2215,45,45,0,39,39,0,6,6,0,Rental,Private,,
xxx Blue Hill Ave,Roxbury,2119,3,2,1,0,0,0,3,1,2,Ownership/Rental,Private,,
xxx Blue Hill Avenue,Dorchester,2121,3,3,0,0,0,0,3,3,0,Rental,Private,,
xxx Boylston Street,Fenway,2215,212,212,0,188,188,0,24,24,0,Rental,Private,,
xxx Clarkson St (REO),Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Harrison Ave,South End,2118,225,162,63,194,137,57,31,25,6,Ownership/Rental,Private,,
xxx Marion St,East Boston,2128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Saratoga Street,East Boston,2128,18,18,0,15,15,0,3,3,0,Rental,Private,,
xxx Washington St,Jamaica Plain,2130,76,73,3,64,64,0,12,9,3,Ownership/Rental,Private,,
xxx West Broadway,South Boston,2127,31,31,0,27,27,0,4,4,0,Rental,Private,,
xxxx Beacon St,Fenway,2215,32,32,0,28,28,0,4,4,0,Rental,Private,,
xxxx Blue Hill Ave,Mattapan,2126,13,0,13,12,0,12,1,0,1,Ownership,Private,,
xxxx Blue Hill Avenue,Roxbury,2119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
xxxx Boylston Street,Downtown,2116,48,48,0,45,45,0,3,3,0,Rental,Private,,
xxxx Clarkson St (REO),Dorchester,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx Saratoga Street,East Boston,2128,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
xxxx Washington St,Jamaica Plain,2130,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx West Broadway,South Boston,2127,3,0,3,0,0,0,3,0,3,Ownership,Private,,
xxxxx Blue Hill Ave,Dorchester,2121,4,4,0,0,0,0,4,4,0,Rental,Public,,
xxxxx Clarkson St (REO),Dorchester,2125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xxxxx Washington St,Jamaica Plain,2130,21,21,0,17,17,0,4,4,0,Rental,Private,,
xxxxx West Broadway,South Boston,2127,15,15,0,13,13,0,2,2,0,Ownership,Private,,
